,0,1,2,3,4,5,6,7
0,0.0,1.7917595,7.063904,4.0,4.0,4.204693,2.0,1.0
1,1.0,3.871201,8.691315,2.0,2.0,3.0910425,1.0,1.0
2,2.0,2.4849067,7.647786,2.0,3.0,3.8918202,1.0,2.0
3,3.0,3.7376697,8.972337,2.0,4.0,3.8066626,1.0,2.0
4,4.0,3.1780539,8.4908495,3.0,4.0,3.9702919,2.0,2.0
5,5.0,3.583519,9.111073,2.0,4.0,3.5553482,1.0,2.0
6,6.0,3.1780539,7.949797,3.0,4.0,3.9702919,1.0,1.0
7,7.0,3.583519,8.84621,2.0,2.0,3.5553482,1.0,1.0
8,8.0,2.4849067,8.025844,2.0,4.0,4.1108737,1.0,1.0
9,9.0,3.4011974,8.562931,4.0,2.0,3.3322046,2.0,1.0
10,10.0,2.4849067,7.166266,3.0,1.0,3.218876,1.0,1.0
11,11.0,3.871201,8.368229,3.0,4.0,3.1780539,1.0,1.0
12,12.0,2.4849067,7.3569183,1.0,1.0,3.0910425,1.0,1.0
13,13.0,3.1780539,7.089243,4.0,4.0,4.0943446,2.0,1.0
14,14.0,2.7080503,7.246368,2.0,4.0,3.3322046,1.0,1.0
15,15.0,3.1780539,7.1561766,4.0,2.0,3.465736,1.0,1.0
16,16.0,3.1780539,7.7931743,4.0,4.0,3.9702919,2.0,1.0
17,17.0,3.4011974,8.996157,2.0,3.0,3.218876,3.0,1.0
18,18.0,3.1780539,9.439784,4.0,2.0,3.7841897,1.0,1.0
19,19.0,3.1780539,8.140316,3.0,2.0,3.4339871,1.0,2.0
20,20.0,2.1972246,7.6657534,4.0,4.0,3.871201,3.0,1.0
21,21.0,1.7917595,7.881182,2.0,3.0,3.7841897,1.0,2.0
22,23.0,2.4849067,7.4977617,3.0,4.0,3.7841897,1.0,1.0
23,25.0,1.7917595,7.2254815,1.0,2.0,3.583519,1.0,1.0
24,26.0,1.7917595,6.0544395,4.0,4.0,3.6635616,1.0,1.0
25,27.0,2.4849067,6.0137153,3.0,3.0,3.7376697,2.0,1.0
26,28.0,1.9459101,7.7894545,3.0,2.0,3.5263605,1.0,1.0
27,29.0,4.0943446,8.829958,3.0,4.0,4.1431346,2.0,1.0
28,30.0,2.8903718,7.556428,3.0,3.0,3.583519,1.0,1.0
