A11,A12,A13, A14,A2,A30,A31,A32,A33,A34,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A410,A5,A61,A62,A63,A64,A65,A71,A72,A73,A74,A75,A8,A91,A92,A93,A94,A95,A101,A102,A103,A11,A121,A122,A123,A124,A13,A141,A142,A143,A151,A152,A153,A16,A171,A172,A173,A174,A18,A191,A192,A201,A202,Good/Bad
0.0,1,0.0,0,0.6470588235294118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31368988665126,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,1,0,0,0,1,0,0,0.3333333333333333,1,0,0,0,0.05357142857142857,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,1
0.0,0,0.0,1,0.11764705882352941,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.10157367668097282,1,0,0,0,0,0,0,0,1,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.6666666666666666,1,0,0,0,0.5357142857142857,0,0,1,0,1,0,0.0,0,1,0,0,1.0,1,0,1,0,0
1.0,0,0.0,0,0.5588235294117647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4199405744470122,1,0,0,0,0,0,0,0,1,0,0.3333333333333333,0,0,1,0,0,0,0,1,1.0,0,1,0,0,0.4642857142857143,0,0,1,0,0,1,0.0,0,0,1,0,1.0,1,0,1,0,0
1.0,0,0.0,0,0.29411764705882354,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.25420931000330144,1,0,0,0,0,0,0,1,0,0,0.6666666666666666,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.6071428571428571,0,0,1,0,0,1,0.3333333333333333,0,0,1,0,1.0,1,0,1,0,1
0.0,0,0.0,1,0.47058823529411764,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4844833278309673,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.2857142857142857,0,0,1,0,0,1,0.0,0,1,0,0,1.0,0,1,1,0,0
0.0,0,0.0,1,0.29411764705882354,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14223616154946628,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0.6071428571428571,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.47058823529411764,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3685484758446132,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.2857142857142857,0,0,1,1,0,0,0.0,0,0,0,1,0.0,0,1,1,0,0
0.0,0,0.0,1,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15456146142841423,0,0,0,1,0,0,0,0,1,0,0.3333333333333333,1,0,0,0,0,1,0,0,1.0,1,0,0,0,0.75,0,0,1,0,1,0,0.0,0,1,0,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.38235294117647056,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.27423792230659183,1,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,1,0,0,0.3333333333333333,0,0,1,0,0.16071428571428573,0,0,1,0,1,0,0.3333333333333333,0,0,0,1,0.0,1,0,1,0,1
0.0,1,0.0,0,0.11764705882352941,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05749972488169913,1,0,0,0,0,0,1,0,0,0,0.6666666666666666,0,1,0,0,0,1,0,0,0.0,0,0,1,0,0.10714285714285714,0,0,1,1,0,0,0.0,0,0,1,0,0.0,1,0,1,0,1
1.0,0,0.0,0,0.6470588235294118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2232860129855838,1,0,0,0,0,0,1,0,0,0,0.6666666666666666,0,1,0,0,0,1,0,0,1.0,0,1,0,0,0.08928571428571429,0,0,1,1,0,0,0.0,0,0,1,0,0.0,1,0,1,0,1
0.0,1,0.0,0,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.07246616044899307,1,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,1,0,0,0.0,0,0,1,0,0.05357142857142857,0,0,1,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
1.0,0,0.0,0,0.29411764705882354,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05221745350500715,1,0,0,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,1,0,0.7321428571428571,0,0,1,0,1,0,0.3333333333333333,0,1,0,0,0.0,1,0,1,0,1
1.0,0,0.0,0,0.16176470588235295,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06344228018047761,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,1,0,0,0,1,0,0,1.0,0,0,1,0,0.16071428571428573,0,0,1,1,0,0,0.0,0,0,1,0,0.0,1,0,1,0,0
1.0,0,0.0,0,0.29411764705882354,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.056784417299438755,0,1,0,0,0,0,0,1,0,0,1.0,0,1,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.23214285714285715,0,0,1,0,1,0,0.0,0,1,0,0,0.0,1,0,1,0,1
0.0,0,0.0,1,0.29411764705882354,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.11962143721800374,0,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0.6071428571428571,0,0,1,0,1,0,0.3333333333333333,0,0,1,0,0.0,1,0,1,0,0
1.0,0,0.0,0,0.38235294117647056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.43039506988004844,0,0,0,0,1,0,1,0,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.6666666666666666,0,0,1,0,0.10714285714285714,1,0,0,0,1,0,0.6666666666666666,0,0,1,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.29411764705882354,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.678386706283702,1,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,1,0,0,0.3333333333333333,0,0,0,1,0.44642857142857145,0,0,1,0,0,1,0.0,0,0,0,1,0.0,0,1,1,0,1
0.0,0,0.0,1,0.29411764705882354,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.17497523935292175,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.21428571428571427,0,0,1,0,1,0,0.0,0,0,1,0,1.0,0,1,1,0,0
0.0,0,0.0,1,0.07352941176470588,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.10366457576758006,1,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1.0,0,0,1,0,0.5178571428571429,0,0,1,0,1,0,0.6666666666666666,0,0,1,0,0.0,0,1,1,0,0
1.0,0,0.0,0,0.029411764705882353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1318917134367778,0,0,1,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.6666666666666666,1,0,0,0,0.44642857142857145,0,0,1,1,0,0,0.0,0,0,1,0,1.0,1,0,1,0,0
1.0,0,0.0,0,0.08823529411764706,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.10955210740618467,1,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0,0,1,0,0,0.6666666666666666,1,0,0,0,0.5178571428571429,0,0,1,1,0,0,0.3333333333333333,0,1,0,0,1.0,1,0,0,1,0
0.0,1,0.0,0,0.11764705882352941,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.08550676791020138,0,1,0,0,0,0,1,0,0,0,0.6666666666666666,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0.44642857142857145,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.08823529411764706,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1000880378562782,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,0,1,0,1,0,0,0.0,0,0,1,0,0.125,0,0,1,0,1,0,0.3333333333333333,0,0,1,0,0.0,1,0,0,1,0
