Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
0,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,real estate,67,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
1,0 <= 200 DM,48,existing credits paid back duly till now,radio/television,5951,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,real estate,22,none,own,One,skilled employee / official,One,none,yes,Bad
2,no checking account,12,critical account/ other credits existing (not at this bank),education,2096,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Three,real estate,49,none,own,One,unskilled - resident,Two,none,yes,Good
3,... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,Two,male: single,guarantor,Four,building society savings agreement/life insurance,45,none,for free,One,skilled employee / official,Two,none,yes,Good
4,... < 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Four,unknown / no property,53,none,for free,Two,skilled employee / official,Two,none,yes,Bad
5,no checking account,36,existing credits paid back duly till now,education,9055,unknown/no savings account, 1 <= ... < 4 years,Two,male: single,none,Four,unknown / no property,35,none,for free,One,unskilled - resident,Two,"yes, registered under the customers name",yes,Good
6,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,Three,male: single,none,Four,building society savings agreement/life insurance,53,none,own,One,skilled employee / official,One,none,yes,Good
7,0 <= 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,35,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
8,no checking account,12,existing credits paid back duly till now,radio/television,3059,... >= 1000 DM,4 <= ... < 7 years,Two,male: divorced/separated,none,Four,real estate,61,none,own,One,unskilled - resident,One,none,yes,Good
9,0 <= 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,Four,male: married/widowed,none,Two,car or other,28,none,own,Two,management / self-employed / highly qualified employee / officer,One,none,yes,Bad
10,0 <= 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,Three,female: divorced/separated/married,none,One,car or other,25,none,rent,One,skilled employee / official,One,none,yes,Bad
11,... < 0 DM,48,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year,Three,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,24,none,rent,One,skilled employee / official,One,none,yes,Bad
12,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1567,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,One,car or other,22,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
13,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,60,none,own,Two,unskilled - resident,One,none,yes,Bad
14,... < 0 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,car or other,28,none,rent,One,skilled employee / official,One,none,yes,Good
15,... < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,car or other,32,none,own,One,unskilled - resident,One,none,yes,Bad
16,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,53,none,own,Two,skilled employee / official,One,none,yes,Good
17,... < 0 DM,30,no credits taken/all credits paid back duly,business,8072,unknown/no savings account,... < 1 year,Two,male: single,none,Three,car or other,25,bank,own,Three,skilled employee / official,One,none,yes,Good
18,0 <= 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,none,Two,unknown / no property,44,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
19,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,... >= 7 years,Three,male: single,none,Two,car or other,31,none,own,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
20,no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,car or other,48,none,own,Three,skilled employee / official,One,"yes, registered under the customers name",yes,Good
21,... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM, 1 <= ... < 4 years,Two,male: single,none,Three,real estate,44,none,rent,One,skilled employee / official,Two,none,yes,Good
22,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year,One,male: single,none,Three,real estate,48,none,rent,Two,unskilled - resident,Two,none,no,Good
23,0 <= 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year,Three,male: single,none,Four,building society savings agreement/life insurance,44,none,own,One,skilled employee / official,One,none,yes,Good
24,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/no savings account, 1 <= ... < 4 years,Two,male: married/widowed,none,One,car or other,26,none,own,Two,skilled employee / official,One,none,no,Good
25,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Two,real estate,36,bank,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
26,no checking account,6,no credits taken/all credits paid back duly,radio/television,426,... < 100 DM,... >= 7 years,Four,male: married/widowed,none,Four,car or other,39,none,own,One,unskilled - resident,One,none,yes,Good
27,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,... >= 1000 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Three,real estate,42,none,rent,Two,skilled employee / official,One,none,yes,Good
28,0 <= 200 DM,7,existing credits paid back duly till now,radio/television,2415,... < 100 DM, 1 <= ... < 4 years,Three,male: single,guarantor,Two,real estate,34,none,own,One,skilled employee / official,One,none,yes,Good
29,... < 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,... >= 7 years,Three,male: single,none,Four,unknown / no property,63,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
30,0 <= 200 DM,18,existing credits paid back duly till now,business,1913,... >= 1000 DM,... < 1 year,Three,male: married/widowed,none,Three,real estate,36,bank,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
31,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,27,stores,own,One,skilled employee / official,One,none,yes,Good
32,0 <= 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,30,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
33,no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,unknown / no property,57,none,rent,One,unskilled - resident,One,none,yes,Good
34,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,One,building society savings agreement/life insurance,33,bank,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
35,0 <= 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,... < 100 DM,... < 1 year,Four,male: single,none,Two,building society savings agreement/life insurance,25,none,own,Two,unskilled - resident,One,none,yes,Bad
