,0,1,2,3,4,5,6
0,1.7917595,7.063904,4.0,4.0,4.204693,2.0,1.0
1,3.871201,8.691315,2.0,2.0,3.0910425,1.0,1.0
2,2.4849067,7.647786,2.0,3.0,3.8918202,1.0,2.0
3,3.7376697,8.972337,2.0,4.0,3.8066626,1.0,2.0
4,3.1780539,8.4908495,3.0,4.0,3.9702919,2.0,2.0
5,3.583519,9.111073,2.0,4.0,3.5553482,1.0,2.0
6,3.1780539,7.949797,3.0,4.0,3.9702919,1.0,1.0
7,3.583519,8.84621,2.0,2.0,3.5553482,1.0,1.0
8,2.4849067,8.025844,2.0,4.0,4.1108737,1.0,1.0
9,3.4011974,8.562931,4.0,2.0,3.3322046,2.0,1.0
10,2.4849067,7.166266,3.0,1.0,3.218876,1.0,1.0
11,3.871201,8.368229,3.0,4.0,3.1780539,1.0,1.0
12,2.4849067,7.3569183,1.0,1.0,3.0910425,1.0,1.0
13,3.1780539,7.089243,4.0,4.0,4.0943446,2.0,1.0
14,2.7080503,7.246368,2.0,4.0,3.3322046,1.0,1.0
15,3.1780539,7.1561766,4.0,2.0,3.465736,1.0,1.0
16,3.1780539,7.7931743,4.0,4.0,3.9702919,2.0,1.0
17,3.4011974,8.996157,2.0,3.0,3.218876,3.0,1.0
18,3.1780539,9.439784,4.0,2.0,3.7841897,1.0,1.0
19,3.1780539,8.140316,3.0,2.0,3.4339871,1.0,2.0
20,2.1972246,7.6657534,4.0,4.0,3.871201,3.0,1.0
21,1.7917595,7.881182,2.0,3.0,3.7841897,1.0,2.0
22,2.4849067,7.4977617,3.0,4.0,3.7841897,1.0,1.0
23,1.7917595,7.2254815,1.0,2.0,3.583519,1.0,1.0
24,1.7917595,6.0544395,4.0,4.0,3.6635616,1.0,1.0
25,2.4849067,6.0137153,3.0,3.0,3.7376697,2.0,1.0
26,1.9459101,7.7894545,3.0,2.0,3.5263605,1.0,1.0
27,4.0943446,8.829958,3.0,4.0,4.1431346,2.0,1.0
28,2.8903718,7.556428,3.0,3.0,3.583519,1.0,1.0
29,3.1780539,8.299037,2.0,2.0,3.295837,1.0,1.0
30,2.8903718,8.6769285,2.0,2.0,3.4011974,2.0,1.0
31,2.4849067,7.1420364,4.0,4.0,4.0430512,1.0,1.0
32,2.4849067,7.295735,4.0,1.0,3.4965076,1.0,1.0
33,3.8066626,8.465057,4.0,2.0,3.218876,2.0,1.0
34,3.871201,8.717682,1.0,3.0,3.4339871,1.0,1.0
35,2.8903718,7.6496925,4.0,2.0,3.6109178,1.0,1.0
36,2.3025851,7.1106963,2.0,2.0,3.6109178,1.0,1.0
37,2.1972246,6.126869,4.0,3.0,3.1780539,1.0,1.0
38,3.4011974,7.7549105,4.0,2.0,3.4011974,1.0,1.0
39,2.4849067,7.0544496,3.0,1.0,3.2580965,1.0,1.0
40,2.8903718,8.732949,2.0,4.0,3.7841897,1.0,2.0
41,3.4011974,8.730206,1.0,4.0,3.1780539,2.0,1.0
42,3.871201,8.723068,4.0,4.0,4.060443,2.0,1.0
43,2.3978953,7.239215,4.0,4.0,3.5553482,2.0,1.0
44,3.583519,7.7402296,4.0,4.0,3.6635616,1.0,1.0
45,1.7917595,7.20934,1.0,2.0,3.1354942,1.0,1.0
46,2.3978953,8.885717,1.0,4.0,3.6635616,2.0,1.0
47,2.4849067,7.636752,4.0,2.0,3.3322046,1.0,1.0
48,3.1780539,7.7549105,4.0,2.0,3.3672957,1.0,1.0
49,3.295837,8.693665,1.0,2.0,3.4011974,2.0,1.0
50,2.4849067,7.140453,3.0,2.0,3.218876,1.0,1.0
51,2.8903718,8.125039,2.0,1.0,3.4339871,1.0,1.0
52,3.583519,7.7075124,4.0,4.0,4.0430512,2.0,1.0
53,1.7917595,6.6631327,1.0,2.0,3.2580965,1.0,2.0
54,2.4849067,8.774622,2.0,1.0,3.9512436,1.0,1.0
55,3.583519,9.165971,2.0,2.0,3.4339871,2.0,1.0
56,2.8903718,7.5812097,3.0,2.0,3.1354942,1.0,1.0
57,3.583519,8.736971,4.0,4.0,3.1354942,2.0,1.0
58,2.1972246,7.237778,2.0,1.0,3.295837,1.0,1.0
59,2.7080503,7.337588,4.0,4.0,3.912023,2.0,1.0
60,3.583519,7.5771217,4.0,4.0,4.1108737,1.0,1.0
61,3.871201,9.576441,2.0,2.0,3.218876,1.0,1.0
62,3.1780539,8.064951,4.0,4.0,3.2580965,1.0,1.0
63,3.295837,8.554489,4.0,4.0,3.871201,4.0,2.0
64,2.4849067,7.6829433,2.0,2.0,3.3672957,1.0,1.0
65,2.4849067,6.914731,4.0,1.0,3.0910425,1.0,1.0
66,3.583519,7.506042,4.0,4.0,3.6109178,1.0,1.0
67,3.583519,7.7807207,4.0,4.0,3.218876,1.0,1.0
68,3.583519,9.003685,1.0,2.0,3.4011974,1.0,1.0
69,1.9459101,6.5930448,4.0,2.0,3.8286414,2.0,1.0
70,2.0794415,7.0596175,3.0,4.0,3.9318256,2.0,2.0
71,3.7376697,8.691818,2.0,1.0,3.713572,2.0,1.0
72,3.583519,7.589336,4.0,4.0,3.6888795,1.0,1.0
73,2.4849067,7.330405,4.0,4.0,4.189655,2.0,1.0
74,3.7376697,8.285261,4.0,3.0,3.5263605,1.0,1.0
75,2.3978953,8.470311,2.0,4.0,3.9318256,1.0,1.0
76,3.988984,9.1522875,2.0,2.0,3.6635616,1.0,2.0
77,3.4011974,8.2511425,2.0,1.0,3.0910425,1.0,1.0
78,3.1780539,8.689969,1.0,1.0,3.7841897,2.0,1.0
79,2.7080503,7.100852,4.0,3.0,3.8501475,1.0,1.0
80,2.8903718,7.3575563,3.0,4.0,3.1780539,1.0,1.0
81,3.1780539,7.470224,4.0,4.0,4.060443,1.0,1.0
82,2.3025851,7.747165,3.0,4.0,3.9512436,1.0,1.0
83,2.4849067,7.2527623,4.0,2.0,3.3672957,2.0,1.0
84,2.8903718,7.166266,4.0,1.0,3.295837,2.0,1.0
85,3.583519,9.442404,1.0,4.0,3.8501475,1.0,2.0
86,2.8903718,7.7182407,4.0,3.0,3.4011974,1.0,2.0
87,2.4849067,7.010312,4.0,3.0,3.3322046,2.0,1.0
88,2.4849067,6.4264884,4.0,4.0,4.0253515,1.0,1.0
89,2.4849067,7.2506356,4.0,3.0,3.988984,1.0,1.0
90,2.4849067,6.680855,4.0,3.0,3.4965076,1.0,2.0
91,3.1780539,8.1934,4.0,4.0,2.9957323,2.0,1.0
92,2.4849067,7.183871,4.0,4.0,3.988984,1.0,1.0
93,3.988984,9.676901,3.0,4.0,4.060443,1.0,1.0
94,2.4849067,7.6068845,4.0,2.0,4.1108737,1.0,1.0
95,2.8903718,7.8716927,4.0,4.0,3.5263605,1.0,1.0
96,3.583519,7.7566233,4.0,4.0,3.583519,1.0,1.0
97,2.9957323,8.861775,3.0,4.0,3.583519,2.0,2.0
98,3.1780539,7.292337,4.0,4.0,3.713572,1.0,1.0
99,3.583519,7.7506146,4.0,4.0,3.1780539,1.0,1.0
100,1.7917595,6.8373327,3.0,2.0,3.1780539,1.0,1.0
101,2.1972246,7.5595593,4.0,3.0,3.5553482,1.0,1.0
102,2.4849067,7.8018003,2.0,4.0,3.2580965,1.0,1.0
103,3.1780539,9.387482,2.0,3.0,3.6635616,2.0,2.0
104,2.8903718,8.773075,2.0,4.0,3.6635616,2.0,2.0
105,2.4849067,8.712431,2.0,2.0,3.465736,1.0,1.0
106,2.6390574,7.251345,1.0,2.0,3.5553482,1.0,1.0
107,1.7917595,7.278629,1.0,2.0,3.4339871,2.0,2.0
108,2.7080503,5.971262,4.0,4.0,3.1354942,1.0,1.0
109,2.8903718,8.741936,3.0,3.0,3.3322046,1.0,1.0
110,3.583519,8.968905,4.0,2.0,3.218876,2.0,1.0
111,2.4849067,7.426549,3.0,1.0,3.5553482,1.0,1.0
112,3.871201,8.182559,4.0,1.0,3.8501475,1.0,1.0
113,3.7376697,8.878219,4.0,3.0,3.4011974,1.0,1.0
114,3.4965076,8.361942,1.0,4.0,3.1354942,2.0,1.0
115,2.4849067,7.768956,3.0,3.0,3.583519,1.0,1.0
116,3.0445225,7.5147996,3.0,2.0,3.218876,2.0,1.0
117,3.1780539,8.260493,4.0,2.0,3.713572,2.0,1.0
118,2.4849067,7.4776044,3.0,2.0,3.1780539,1.0,1.0
119,2.3025851,6.660575,4.0,4.0,4.1431346,2.0,1.0
120,2.8903718,7.5621614,4.0,3.0,3.295837,1.0,1.0
121,2.4849067,7.659643,4.0,2.0,3.4011974,2.0,1.0
122,2.4849067,6.552508,4.0,2.0,3.6888795,1.0,1.0
123,2.4849067,6.4599047,4.0,2.0,3.4011974,1.0,1.0
124,2.4849067,7.5283318,4.0,2.0,3.5263605,2.0,1.0
125,2.4849067,8.160233,3.0,2.0,3.3672957,2.0,1.0
126,3.871201,9.04629,1.0,2.0,3.1780539,1.0,1.0
127,3.583519,8.837391,4.0,3.0,3.3672957,1.0,1.0
128,2.7080503,7.9039655,2.0,3.0,3.295837,2.0,1.0
129,2.8903718,7.59287,4.0,4.0,3.8501475,2.0,1.0
130,4.0943446,9.224638,2.0,4.0,3.0445225,1.0,1.0
131,2.4849067,7.1228666,4.0,2.0,3.637586,2.0,1.0
132,3.295837,9.061028,2.0,2.0,3.295837,2.0,1.0
133,2.4849067,6.641182,4.0,3.0,4.189655,1.0,1.0
134,2.7080503,7.911324,4.0,2.0,3.5553482,3.0,1.0
135,2.4849067,7.539559,2.0,2.0,3.7841897,1.0,1.0
136,3.583519,8.475329,4.0,1.0,3.4011974,1.0,1.0
137,3.295837,8.136226,3.0,2.0,3.295837,1.0,1.0
138,2.8903718,7.808729,2.0,2.0,3.0910425,1.0,1.0
139,3.0445225,7.7354336,4.0,4.0,3.1354942,1.0,1.0
140,3.871201,8.1792,4.0,2.0,3.4011974,1.0,1.0
141,1.7917595,6.7569323,1.0,4.0,3.6635616,2.0,1.0
142,2.4849067,6.5250297,4.0,3.0,3.9318256,2.0,1.0
143,3.583519,8.588769,3.0,2.0,3.3322046,2.0,1.0
144,2.8903718,7.366445,4.0,4.0,3.8286414,2.0,1.0
145,1.7917595,7.2048926,2.0,4.0,3.7376697,1.0,2.0
146,3.583519,8.673855,4.0,1.0,3.1780539,1.0,1.0
147,3.1780539,8.95648,2.0,4.0,3.3672957,1.0,1.0
148,3.1780539,8.84894,4.0,4.0,3.583519,1.0,1.0
149,2.4849067,7.1561766,2.0,4.0,2.9957323,1.0,1.0
150,2.4849067,5.826,4.0,1.0,3.8066626,1.0,1.0
151,3.1780539,8.163941,2.0,3.0,3.637586,2.0,1.0
152,1.7917595,7.548556,1.0,2.0,3.5263605,2.0,2.0
153,3.1780539,7.962764,3.0,4.0,3.583519,1.0,2.0
154,2.8903718,6.961296,4.0,1.0,3.4011974,2.0,1.0
155,2.7080503,7.140453,4.0,3.0,3.583519,2.0,1.0
